Split_Type,Holdout,RMSE,MAE,R2,Pearson_r,Within_5s,Within_10s,Within_30s,N_test
scaffold,1,117.3096783687582,69.64164429578543,0.9249660642520664,0.9622554198046336,9.438004032258064,18.233366935483872,42.93094758064516,23808
scaffold,2,134.39379237689514,67.04151668232936,0.8966648984105673,0.9476242035654383,10.143649193548388,19.073420698924732,44.95547715053764,23808
scaffold,3,106.1192164412118,64.00166266548703,0.9230318594859438,0.9608008361443439,10.14784946236559,19.22043010752688,44.95547715053764,23808
scaffold,4,104.51376450302801,62.91612287500187,0.9223850970528981,0.9607080715062621,10.152049731182796,19.678259408602152,45.30829973118279,23808
scaffold,5,111.67642973454689,64.1325066717306,0.9235836730448982,0.9611212136050314,9.8458436594279,18.60797244507918,44.6927374301676,23807
method,1,799.9558788934042,459.68375513387815,0.2405837911376626,0.6835752887016875,1.7130620985010707,3.2762312633832975,10.74946466809422,4670
method,2,162.29355274091998,123.63301889402352,0.3975071552300915,0.7425619288319599,4.48519664162616,8.749447635881573,22.66902342023862,4526
method,3,94.12276322416581,69.88147483735078,0.8206334425167785,0.9291144170216586,5.236167341430499,10.688259109311742,31.01214574898785,3705
method,4,95.04462225606493,72.05931772998571,0.8997972122350552,0.9686813226668942,0.5469617981369114,1.123835569609435,5.486710537560892,23402
method,5,355.4174410335706,320.7563170707916,-1.3080638555474229,0.46392638283761645,0.18613421001740477,0.37468574743763294,1.124057242312899,82736
cluster,1,141.69401225853184,80.67754780788252,0.8995624438555956,0.9507804218427232,8.40613183824762,16.22180416115633,40.79386071115913,53687
cluster,2,124.79683104578054,80.21978911521485,0.825994810822056,0.909290029465514,6.513560804899388,12.974628171478564,32.681539807524054,22860
cluster,3,124.30704606797623,84.21928733441976,0.8008882566518939,0.9014289552352492,5.690729941685099,11.280916951538307,29.914873651048996,14919
cluster,4,122.87614992753495,80.02868506861759,0.8375228416564199,0.9163030652999913,6.340980108223458,12.041765109366665,31.308589284353328,13121
cluster,5,147.6606562644555,90.63869258875286,0.8836906244189042,0.9404879051296231,5.722391364517022,11.520896761693884,31.054525325214506,14452
Scaffold (avg),—,114.802576284888,65.54669063806685,0.9181263184492747,0.9585019489251418,9.945479215756546,18.962689919123363,44.56858780861417,119039
Method (avg),—,301.3668516296251,209.20277673320598,0.210091549114433,0.7575718680119634,2.4335044179424097,4.842491865124736,14.208280323438895,119039
Cluster (avg),—,132.26693911285582,83.15680038297752,0.8495317954809739,0.9236580753946202,6.534758811514517,12.808002231046748,33.15067775586,119039
Overall (avg),—,182.81212234245635,119.30208925141679,0.6592498876815605,0.8799106307772419,6.304580815071159,12.204394671764952,30.642515295971023,357117
